Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NEAR NORTH SIDE,96.8343822382476,94.29349153990054,32.40858916487121,30.49283706864828,37.1954140608518,35.333657309349576,24.188254798102506,23.410344849631752,28.558656911334907,27.2697789676841
JEFFERSON PARK,99.2478487997902,97.05605927489444,33.14166648746926,30.934745749543588,36.47471823673913,34.808299449051745,25.627258536438227,24.57550637970561,29.93292866820996,28.489452822328087
CLEARING,97.21752535287746,94.44683021809423,33.970295697731025,32.20187699081839,41.7796756910242,39.6881240357312,25.175269139585183,24.28663279170364,29.863714985479326,28.550734770435525
FULLER PARK,94.7694915771484,92.2223892211914,34.4653350830079,32.4758010864258,43.4121093750001,40.6757217407227,24.765625,23.828125,29.6513896942139,28.0743570327759
LOGAN SQUARE,95.35755345314936,92.63005500580216,34.42153251316235,32.24167960030695,43.37551816762612,40.79450101674714,24.85821040372672,23.80352290372672,29.655866017785872,28.01858486684956
HERMOSA,95.28472201341944,92.69472839341049,34.31514700184701,32.2055074233865,43.875785507461806,41.49095030930631,24.933265152410204,23.88671875,29.642682892523563,28.293457881264068
NORTH LAWNDALE,96.49378537891968,93.91808538929712,34.06416330603915,32.15371499993953,41.52185215230765,39.35748652985645,25.098454480730624,24.13428450429906,29.77204365756929,28.390686207643448
BELMONT CRAGIN,98.848984570131,96.3305088187205,33.3896777254737,31.342032291891236,37.47064277315131,35.778695220554575,25.50076963289963,24.44941646411209,29.87947796556249,28.531435612511324
ALBANY PARK,95.58586043060804,92.94405165685616,34.279591676287005,32.10251478184771,43.62625656266901,40.96506575009429,24.883436859631143,23.832856614298727,29.68251475766712,28.141251223552
HUMBOLDT PARK,95.23829154919578,92.64049354509407,34.32969058194434,32.22398480364836,43.79036658213416,41.28442527123448,24.927462657546265,23.869880525337035,29.644160056951048,28.229072659351925
GAGE PARK,94.56692936600638,92.09682896180144,34.22972979155785,32.355934209750075,43.4283662818576,41.47475263110169,25.037563263174807,24.07262210796915,29.70699079440005,28.42284904960494
LINCOLN PARK,96.70010171079028,94.02911585866136,32.62167940099069,30.66950955777555,37.69905144595156,35.68581130569045,24.26028516180654,23.4378056098862,28.68595812269837,27.21855604055089
MORGAN PARK,96.29228803613684,93.71414037851186,33.96308052356433,32.25096217197376,42.13008363954312,39.83223212787083,25.11380809742016,24.271300598815245,29.866827267342845,28.559863525760058
FOREST GLEN,98.42068665195514,96.12813704450366,33.41273564298392,31.219078383647258,38.38930711987993,36.49256734445065,25.45288017165493,24.373046875000004,29.872780635591965,28.407011292685933
LAKE VIEW,95.756813666231,93.1177583667113,33.94778148145229,31.81478627796243,41.72173238556026,39.243430309227314,24.69092321908603,23.695858534946243,29.420225777027856,27.7396266950929
WASHINGTON HEIGHTS,96.59078078183536,93.973728194962,33.89115177452148,32.151123947492266,41.35766974795608,39.28727477353987,25.170831486406616,24.27106997081856,29.87937121334929,28.566494655007908
EDISON PARK,99.10534579741844,96.789624499986,33.383397790810726,31.250974546984875,38.27879535509533,36.49929833590201,25.33943578140767,24.2850498234107,29.817625011902155,28.26719498465934
CALUMET HEIGHTS,96.48583814681714,93.95757440457676,33.939033809589034,32.041049413012914,40.16164041118261,37.98039620757866,25.20082354697452,24.16303773138933,29.83089858012593,28.455217348694045
GARFIELD RIDGE,97.1906321157242,94.40678939113862,33.975673251636486,32.20378346562033,41.764785331454185,39.68976864003204,25.174992880595024,24.2811076119003,29.86050577687689,28.55251957257676
GREATER GRAND CROSSING,94.43685307485822,92.20359173787338,34.19763023374006,32.26083291500917,43.11002527946583,40.80192365963338,24.993864578291387,23.988685866408524,29.739369040652647,28.254480124981654
OHARE,98.74069425798396,96.73968350397948,33.4928770009613,31.44390460969633,38.57362857929989,36.71071838043119,25.30638952073634,24.343888859500623,29.786592193906976,28.356722073548948
SOUTH CHICAGO,95.1556124896314,92.96134132411518,34.07698840878304,32.10692157318594,42.34592839725256,39.82035703938107,24.95361109617041,23.96569425021515,29.649036497027414,28.28783306246572
DUNNING,99.18077433616943,97.02035139896692,33.20160672237636,31.07297579973571,36.46179885057771,35.041824090117174,25.48722534732709,24.51601314746301,29.85235196709527,28.503262941515462
ARMOUR SQUARE,94.7694915771484,92.2223892211914,34.4653350830079,32.4758010864258,43.4121093750001,40.6757217407227,24.765625,23.828125,29.6513896942139,28.0743570327759
MCKINLEY PARK,95.62859741586156,93.06844770243912,34.22985270515821,32.33401738151178,42.21391815935987,39.93236709344587,24.963114754098363,24.039686859631143,29.73034795260824,28.278974027320995
ROGERS PARK,96.67727130168193,94.11224416784336,34.37018878008868,32.0385450724009,43.02001377827415,40.25572496362636,24.724055109797305,23.6693676097973,29.49319128861297,27.85580037735608
WEST GARFIELD PARK,95.3170509338379,92.5098533630371,34.2482543945313,32.2133880615235,44.0855529785157,41.5132461547852,24.9677734375,23.93798828125,29.6531688690186,28.2844457626343
NEW CITY,94.44780201507794,91.99477864892692,34.260795212415445,32.3733853536317,43.52691368942037,41.50931893508351,25.007873150391084,24.04345668923653,29.695251609754184,28.38647758262113
BRIGHTON PARK,95.16220592769018,92.65121888643044,34.15886534136247,32.30707137345091,42.71996805106206,40.80259365729098,25.07570973730951,24.12669249382208,29.73884644547643,28.44459143541201
BEVERLY,97.19701614110674,94.57885099315445,33.80803553891508,32.03729250954339,40.66067665762355,38.580558647096574,25.22645326559192,24.351540446365565,29.91336527469717,28.577740257696604
OAKLAND,95.33842739529076,92.74503981978803,33.76600023057733,31.8443557739258,41.193470775463055,38.76599499737779,24.59895833333333,23.73090277777778,29.31620993437594,27.83794198919228
NEAR SOUTH SIDE,94.95952615603248,92.42394314865092,34.46696860003692,32.413858903877575,43.45317573204588,40.793564330506285,24.77368070041721,23.816936527198333,29.642603130120243,28.12157501029724
DOUGLAS,94.78565452652744,92.2372372495606,34.4454676156093,32.45786229913887,43.34907986933143,40.62146814005949,24.76089015151515,23.8253630050505,29.641867541945768,28.06764069631045
