Community,NDVI,LST_Day,LST_Night,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
WEST ENGLEWOOD,0.4296157741208578,37.81151555465056,20.61199158026218,22.83443269764098,35.57436752374508,20.25428853397,19.244581286319367,18.85855955639701,24.26729152793912,20.079674860746703
RIVERDALE,0.5090781165392426,33.051178767217,19.35455111757256,23.07958707085804,35.73202721679219,20.40145251354483,19.50001332988501,19.05356729542553,24.53914193241758,20.19193536403064
WEST LAWN,0.2909978364251472,39.34574930683274,19.629793796656973,23.2647338867188,36.2260681152344,20.5361877441406,19.53173828125,18.9534177780151,24.6935338973999,20.1830387115479
IRVING PARK,0.3476191515245774,38.00445793160126,19.82667203748624,22.83472923446926,35.98265392387528,20.207150563162973,19.115773380115424,18.678609665893656,24.31638900480644,19.96156365073362
AUSTIN,0.3437472356364158,38.89063932082207,20.17714753240929,22.89361083772448,35.897811712881555,20.217479712072063,19.155721352256915,18.69216431240844,24.334846384898626,19.97616117801328
BURNSIDE,0.4013514383923997,37.49453889132512,20.38290539216284,22.9254699707031,35.7493682861328,20.3733306884766,19.44970703125,18.9777345657349,24.483455657959,20.099142074585
EAST SIDE,0.374800865388629,33.51942650357245,19.12153154917164,22.57102823993264,30.83108678866807,20.711477608038717,19.108560553837837,18.959367902845194,23.850864658197,20.06115961435523
WEST RIDGE,0.4125515837519946,35.94609519079301,19.15252509444568,22.373494704820097,35.156359884453934,19.96531660211686,18.738311539309823,18.46165767749077,23.89866320111709,19.76342400809788
MONTCLARE,0.3590414215879491,39.80098452103371,19.791085714259356,23.025779548671604,36.07522759520638,20.28737755752197,19.256468849315063,18.69666185279338,24.59233017831733,19.94504915297235
LOWER WEST SIDE,0.1992990961815018,37.787710736783325,19.876183074305352,22.74723612584238,35.09301273595592,20.194324963785373,19.10868384598136,18.760428188497688,24.04954216866213,20.029618524565283
WEST ELSDON,0.2989592957639201,38.95097530572573,20.13756059330377,23.2343167940458,36.17588331468336,20.50372923585207,19.4879704722158,18.92380378391596,24.671242772996997,20.16023014499233
NORTH CENTER,0.3128982928319681,37.50380402957471,20.02626601498681,22.714484851891584,34.5113893477506,20.2770077819489,18.99782697717392,18.64066979442808,24.11131273535554,19.929098351203223
WEST TOWN,0.2530481101543314,37.64787188607742,19.853385148133064,22.181575144810942,28.34900030091751,20.202747515861653,18.39079900622513,18.32873005440942,23.244818554134685,19.718006820165098
SOUTH SHORE,0.3850787083119895,33.18190961618628,19.41273122098413,22.53797503962665,31.293416953809363,20.591699114712824,19.017383539676693,18.82998092608021,23.775999160968887,20.01235215880653
GRAND BOULEVARD,0.3344450222936893,35.30676377901033,19.82276156023219,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
CHATHAM,0.3948531582336554,37.78240760622454,20.58532458143208,22.9254699707031,35.7493682861328,20.3733306884766,19.44970703125,18.9777345657349,24.483455657959,20.099142074585
WEST PULLMAN,0.4784506950421042,36.01275968384665,19.532401199114645,23.07187708007813,35.84627687988287,20.43846701660161,19.53088071289065,19.023211406555184,24.57712494506834,20.16821252868649
HEGEWISCH,0.4668020228589887,32.4679605682234,19.355525085433023,22.865259759925763,34.890854508092474,20.47205845338905,19.45919461162289,19.051403802173827,24.39983975786337,20.137258863293766
NEAR WEST SIDE,0.2319503104752581,37.25835774180397,19.71080849382269,21.74759275639881,24.65048222641644,19.550099944307696,17.779786810679983,17.88313910768609,22.652126311875552,19.44962553535836
